time,seconds_elapsed,z,y,x
1713313090240316200,9.710316162109375,2.749398708343506,2.094287872314453,1.9564990997314453
1713313090249851100,9.71985107421875,1.3100379705429077,2.2370996475219727,3.2795591354370117
1713313090259386000,9.72938623046875,-0.13714107871055603,2.039355754852295,3.9608421325683594
1713313090268921000,9.738921142578125,-0.15034261345863342,0.9555745124816895,4.437991619110107
1713313090278456000,9.7484560546875,-0.025225363671779633,-0.8903470039367676,5.0124921798706055
1713313090287991000,9.757990966796875,0.06353415548801422,-2.652676582336426,5.08978271484375
1713313090297526000,9.767526123046874,0.9319794774055481,-4.0791144371032715,5.256073951721191
1713313090307061000,9.77706103515625,1.3205890655517578,-5.496970176696777,5.605018138885498
1713313090316596000,9.786595947265624,1.5141849517822266,-6.886624336242676,6.43922758102417
1713313090326131000,9.796130859375,1.4531124830245972,-7.989886283874512,7.2544264793396
1713313090335666200,9.805666259765625,0.938306450843811,-8.333869934082031,7.994617938995361
1713313090345201200,9.815201171875,0.05494387447834015,-8.37176513671875,8.708202362060547
1713313090354736000,9.824736083984375,-0.8527995347976685,-7.862455368041992,9.040931701660156
1713313090364271000,9.83427099609375,-0.8399084806442261,-6.880814552307129,8.847884178161621
1713313090373806000,9.84380615234375,-0.07221478223800659,-6.106530666351318,8.149718284606934
1713313090383341000,9.853341064453126,0.8881027102470398,-6.038172721862793,7.19985818862915
1713313090392876000,9.8628759765625,1.5508396625518799,-6.460336685180664,6.979408264160156
1713313090402411000,9.872410888671874,1.8730130195617676,-6.767946243286133,7.264936923980713
1713313090411946000,9.881946044921875,2.0310871601104736,-6.531218528747559,7.334644794464111
1713313090421481000,9.89148095703125,2.2051212787628174,-5.751635551452637,7.000716209411621
1713313090431016000,9.901015869140625,2.137441635131836,-5.096081733703613,5.5091071128845215
1713313090440551000,9.910551025390625,1.7504079341888428,-4.424907684326172,4.204107284545898
1713313090450086000,9.9200859375,1.0692418813705444,-3.6010324954986572,2.858823299407959
1713313090459620900,9.929620849609375,-0.9192079305648804,-3.406806468963623,2.014157295227051
1713313090469155800,9.93915576171875,1.3099900484085083,-3.5898916721343994,-0.27213001251220703
1713313090478691000,9.948691162109375,7.850950717926025,-3.4007396697998047,-3.0580739974975586
1713313090488226000,9.95822607421875,12.408895492553711,-0.5628347396850586,-3.5387134552001953
1713313090497761000,9.967760986328125,10.526476860046387,3.4830780029296875,-4.809344291687012
1713313090507295700,9.977295654296874,4.365233421325684,7.219160556793213,-7.632622718811035
