seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,pedometer_steps,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
1.3,-0.896159497,0.790404363,1.296083797,,-2.538023477,5.762352033094927,-6.989108649,-2.538023477,5.762352033094927,-6.989108649
1.4,-1.000365615,1.891959906,2.138944006,,-2.617867613,6.3299730777740475,-6.248736668,-2.617867613,6.3299730777740475,-6.248736668
1.5,-2.105899767,0.608571963,2.088092024,,-3.708875114,4.810552423650568,-6.730139992,-3.708875114,4.810552423650568,-6.730139992
1.6,-1.126562631,1.850897026,-1.206600285,,-2.230230325,5.692884063720703,-10.07629576,-2.230230325,5.692884063720703,-10.07629576
1.7,0.410666504,0.473169262,-0.576196064,,-0.993130158,4.079762632,-9.82895409,-0.993130158,4.079762632,-9.82895409
1.8,-1.428174913,7.562150192,-2.963895512,,-1.882672822,10.515258979797363,-12.44734364,-1.882672822,10.515258979797363,-12.44734364
1.9,0.674790168,2.289976857,1.174854625,,1.246660597,4.634136113253507,-8.230004657,1.246660597283732,4.634136113253507,-8.230004657
2,0.422934103,-3.361930442,5.719343233,,0.795134962,-0.925424153,-3.046781063,0.795134962,-0.925424153,-3.046781063
2.1,-0.928255744,-3.32113396,0.69889385,,-1.42492582,0.9065535258163105,-10.01004726,-1.42492582,0.9065535258163105,-10.01004726
2.2,-0.800474167,6.803276682,-11.01584358,,-2.194816586,10.044112253189088,-19.30182343,-2.194816586,10.044112253189088,-19.30182343
2.3,-1.244134992,-2.730476314,5.606258306,,-1.930681537,1.0983056155118076,-2.448292624,-1.930681537,1.0983056155118076,-2.448292624
2.4,-0.533916649,-4.919795632,8.02971487,,-0.873619559,0.31298118829727173,-0.755055199,-0.873619559,0.31298118829727173,-0.755055199
2.5,0.306633613,0.033430923,-6.47655409,,-1.65093889,5.478149945085699,-15.51560575,-1.65093889,5.478149945085699,-15.51560575
2.6,-0.497454643,7.132388926,-3.291764355,,0.189750844,11.279406929016114,-11.58712392,0.1897508442401886,11.279406929016114,-11.58712392
2.7,2.154252013,-0.992516539,4.330723329,,2.348120359,2.2646978947079996,-4.233447064,2.3481203588572415,2.2646978947079996,-4.233447064
2.8,-0.361023888,-6.635874367,3.553121758,,0.143090782,-1.668515229,-5.500022519,0.1430907815694809,-1.668515229,-5.500022519
2.9,-0.062594105,2.141112848,-10.19855707,,-2.469392988,8.196722753515298,-18.95800755,-2.469392988,8.196722753515298,-18.95800755
3,-1.753275478,1.182123327,1.895686102,,-2.654717079,5.766343641281128,-4.852165759,-2.654717079,5.766343641281128,-4.852165759
3.1,0.846170805,-6.299279733,8.602408279,,-0.257881021,-0.189576806,0.772337872,-0.257881021,-0.189576806,0.772337872
3.2,3.985000896,-0.223860312,-2.704572725,,1.739342749,6.500940203666687,-12.36993587,1.739342749118805,6.500940203666687,-12.36993587
3.3,-3.28133828,5.976689902,-6.523886767,6,-3.043017834,11.873294830322266,-12.65520369,-3.043017834,11.873294830322266,-12.65520369
3.4,-0.057997459,-1.984634495,3.960004091,,0.463609391,2.593700134754181,-3.631228006,0.463609391,2.593700134754181,-3.631228006
3.5,1.140927261,-7.63639268,4.355634017,,0.473452587,-1.362059911,-3.983723445,0.4734525870193135,-1.362059911,-3.983723445
3.6,-0.819885039,3.1898458,-10.67952209,,-1.71864481,9.955219126,-18.84288025,-1.71864481,9.955219126,-18.84288025
3.7,-1.969265618,3.874833801,0.299599994,7,-3.691255163,9.413799372586338,-6.241569086,-3.691255163,9.413799372586338,-6.241569086
3.8,1.783085674,-6.193964338,7.847583532,,0.60406808,-0.539701152,0.7998009711503983,0.6040680795907974,-0.539701152,0.7998009711503983
3.9,3.226422597,-3.215247761,-0.099889105,,1.890547412,3.7970832613381473,-9.282194116,1.8905474123629658,3.7970832613381473,-9.282194116
4,-4.794567847,9.063659859,-7.950378227,,-4.676173621,15.283556461334229,-14.48423381,-4.676173621,15.283556461334229,-14.48423381
4.1,2.654630314,-0.329045404,4.221163793,8,2.198166543,4.553541582077742,-3.562793255,2.1981665432453155,4.553541582077742,-3.562793255
4.2,1.319597006,-8.995165634,4.485735106,,0.283223182,-3.204642144,-3.310143828,0.28322318162430415,-3.204642144,-3.310143828
4.3,-0.566811665,3.002648614,-9.743616733,,-1.77308163,9.513982362,-18.9320127,-1.77308163,9.513982362,-18.9320127
4.4,-2.010701931,3.510746861,-0.369232035,9,-3.306880867,8.930340376767246,-7.928182884,-3.306880867,8.930340376767246,-7.928182884
4.5,3.25932545,-5.075432907,7.745584098,,1.878844395,0.064486574,0.44913280457258226,1.8788443952798843,0.064486574,0.44913280457258226
4.6,2.661557651,-2.573390007,-0.891272116,,1.350748373,3.9222712681036103,-9.733784995,1.3507483730261975,3.9222712681036103,-9.733784995
4.7,-3.265882893,7.5962677,-8.338613944,,-4.377070814,12.648221111297607,-16.17452393,-4.377070814,12.648221111297607,-16.17452393
4.8,2.30929994,0.355197954,3.419066429,10,2.500064617,4.423567628318613,-4.84851123,2.5000646168535408,4.423567628318613,-4.84851123
4.9,0.627274263,-8.354798985,6.225457668,,0.269671108,-3.175993562,-2.094676948,0.2696711078286171,-3.175993562,-2.094676948
5,1.197055475,1.635507735,-6.211542736,,0.566772589,7.822463572025299,-16.40921652,0.5667725889520212,7.822463572025299,-16.40921652
5.1,-2.652296159,4.439242601,-4.340135288,11,-3.973999811,9.101220607757568,-10.84953642,-3.973999811,9.101220607757568,-10.84953642
5.2,2.242400224,-5.886168307,7.465964231,,1.231433549,-1.047294974,0.10125990618358958,1.231433548710563,-1.047294974,0.10125990618358958
5.3,1.840928218,-4.714480591,2.559365702,,1.419781291,2.2925634369254113,-6.723712075,1.4197812914848327,2.2925634369254113,-6.723712075
5.4,-4.712274595,7.008156039,-8.294957161,,-5.482826818,12.23221813548695,-15.46078851,-5.482826818,12.23221813548695,-15.46078851
5.5,2.973270118,3.06832056,1.855537701,12,3.777070546,7.039325332641601,-6.466483521,3.7770705461502074,7.039325332641601,-6.466483521
5.6,0.151171882,-7.977135181,5.330927025,,0.36588433,-3.538223318,-2.754573924,0.3658843297850002,-3.538223318,-2.754573924
5.7,0.742216781,-0.931360483,-5.572150373,,0.094157603,6.136513216793537,-17.41950972,0.094157603,6.136513216793537,-17.41950972
5.8,-2.714832355,3.872968717,-7.010989839,13,-2.844848606,8.311686949296432,-12.37687518,-2.844848606,8.311686949296432,-12.37687518
5.9,1.530696422,-5.257584143,8.57238369,,1.33076832,-0.940618569,1.0170692719519139,1.330768319964409,-0.940618569,1.0170692719519139
6,0.9652438,-4.968287468,2.921910806,,0.594942754,1.9099075956778093,-6.620831579,0.5949427539652045,1.9099075956778093,-6.620831579
6.1,-3.826023385,7.053676033,-10.49389753,,-3.958446497,11.994502067565918,-18.04607029,-3.958446497,11.994502067565918,-18.04607029
6.2,0.927796846,1.874007355,2.11410193,14,2.387928231,5.321093841032549,-5.681104747,2.387928231,5.321093841032549,-5.681104747
6.3,-1.263312787,-8.50849328,5.346264076,,-0.399601386,-3.815355682,-3.005145907,-0.399601386,-3.815355682,-3.005145907
6.4,1.131177198,1.506888736,-6.921292738,,0.800290281,6.942557446658611,-17.66381682,0.800290281,6.942557446658611,-17.66381682
6.5,-2.606561995,2.265871477,-3.669604969,15,-3.026681417,6.920880556106567,-10.33256717,-3.026681417,6.920880556106567,-10.33256717
6.6,1.544961729,-5.097660281,9.954346613,,1.662903016,-0.746995723,2.4836411611600355,1.6629030162637883,-0.746995723,2.4836411611600355
6.7,-0.196171415,-3.066777444,0.481347466,,-0.624885637,3.6863825745880603,-9.223733127,-0.624885637,3.6863825745880603,-9.223733127
6.8,-1.763078538,8.538796295,-11.25690781,,-2.179643926,12.848152334039861,-18.7284053,-2.179643926,12.848152334039861,-18.7284053
6.9,1.773910347,-4.292910695,6.135253716,16,2.550509655,-0.534197688,-1.806581062,2.5505096554756164,-0.534197688,-1.806581062
7,-0.134867451,-6.391458446,5.676750617,,-0.354028994,-1.381311276,-3.07107907,-0.354028994,-1.381311276,-3.07107907
7.1,-0.00981077,4.649240065,-12.34961047,,-2.627678204,9.940144306,-22.3336494,-2.627678204,9.940144306,-22.3336494
7.2,-2.652752876,2.702517163,-0.687474511,17,-3.151673642,7.211314938285134,-7.23067502,-3.151673642,7.211314938285134,-7.23067502
7.3,3.683097827,-6.421947622,11.02779999,,1.399203056,-1.41595282,3.2219357252120973,1.3992030560970306,-1.41595282,3.2219357252120973
7.4,-1.288803772,-2.479031259,0.85873981,,-0.342608744,5.026558933,-9.229443117,-0.342608744,5.026558933,-9.229443117
7.5,-3.532465899,7.980040741,-14.51073551,18,-6.126941979,11.71095257,-20.74852386,-6.126941979,11.71095257,-20.74852386
